date,forecast_residential_load,forecast_ci_load,temperature,wind_speed,city
2026-04-01,3527455.271678863,628860.4602988628,3.7,17.2,Brampton
2026-04-02,3599089.7435502475,643907.7871225481,2.1,21.8,Brampton
2026-04-03,3200085.58124848,586997.6984373077,10.9,17.4,Brampton
2026-04-04,3528967.804513487,627521.3625406682,4.4,19.7,Brampton
2026-04-05,3927000.6613026382,560621.9635466139,6.7,24.2,Brampton
2026-04-06,4194747.254660362,534708.4541765939,3.7,18.4,Brampton
2026-04-07,3771605.7269528992,633518.6066486378,0.2,17.7,Brampton
2026-04-08,3679965.091904683,650349.7098657666,0.3,13.2,Brampton
2026-04-09,3521690.977604448,626150.7091281335,4.5,10.0,Brampton
2026-04-10,3222124.048202511,590191.1976719294,10.4,17.0,Brampton
2026-04-11,3341275.80162359,596852.693594925,9.0,16.1,Brampton
2026-04-12,4004079.7547668465,567233.051881099,5.4,13.6,Brampton
2026-04-13,4059202.7535712128,511767.8992394646,7.1,14.2,Brampton
2026-04-14,3212674.387383375,549284.1050219476,13.2,21.3,Brampton
2026-04-15,3466204.427902341,621911.0955132965,4.9,22.2,Brampton
2026-04-16,3653304.4901131494,649427.5421388517,1.1,16.1,Brampton
