date,forecast_residential_load,forecast_ci_load,temperature,wind_speed
2026-02-18,14323661.586466102,4949587.378984294,-1.0,17.4
2026-02-19,14226550.83652122,4933735.0890688775,-0.8,14.9
2026-02-20,13775374.249746412,4868148.188609727,1.4,19.1
2026-02-21,14510768.245961776,5003258.00531297,-2.1,11.0
2026-02-22,15396994.379617035,4720956.09073137,-3.0,9.9
2026-02-23,15412097.01563518,4364141.163345336,-1.5,12.4
2026-02-24,16327831.971856808,5231388.128792371,-8.7,13.1
2026-02-25,14689243.126343476,5036701.106795434,-2.8,14.1
2026-02-26,15255392.739153303,5188588.612377606,-4.9,16.8
2026-02-27,14764484.709645422,5106551.972025754,-3.2,13.3
2026-02-28,13606028.269842956,4783105.930325196,1.9,13.9
2026-03-01,13673967.690576928,4299502.882564191,4.4,12.9
2026-03-02,14757838.140518863,4207021.037116974,1.6,16.9
2026-03-03,14569044.930359695,4801653.8287553415,-1.1,16.7
2026-03-04,14223140.60351267,4929700.233593394,-0.1,23.0
2026-03-05,15358508.237689625,5212233.421226922,-5.5,14.8
